State,Action,Reward,Next State,Done
0,1,1,0,False
0,1,1,2,False
0,0,0,2,False
0,0,0,3,True
1,1,-1,3,True
0,0,0,1,False
0,0,0,1,True
0,0,0,1,False
0,1,-1,2,False
0,1,-1,0,False
0,1,1,3,False
0,1,1,0,False
0,0,0,1,True
0,0,0,1,False
0,1,-1,3,False
0,1,1,0,False
0,0,0,1,True
1,0,0,0,False
1,1,1,3,False
1,1,1,0,False
1,0,0,1,False
1,0,0,0,False
1,1,1,2,False
1,0,0,2,False
1,1,-1,0,False
1,0,0,1,False
1,0,0,1,False
1,0,0,1,False
1,0,0,1,False
1,1,-1,2,False
1,1,-1,0,False
1,1,1,2,False
1,1,-1,1,False
1,1,-1,3,False
1,1,1,1,False
1,1,-1,2,False
1,0,0,3,True
0,1,1,3,False
0,1,1,1,True
1,1,-1,2,False
1,0,0,3,False
1,0,0,2,False
1,0,0,3,False
1,0,0,3,False
1,1,1,1,False
1,0,0,0,False
1,1,1,3,False
1,1,1,1,False
1,1,-1,3,False
1,0,0,3,False
1,1,1,0,True
1,1,-1,3,False
1,0,0,2,False
1,1,-1,0,False
1,0,0,0,False
1,1,1,3,False
1,0,0,3,False
1,0,0,2,False
1,1,-1,1,False
1,0,0,1,False
1,0,0,1,False
1,0,0,1,False
1,0,0,0,False
1,1,1,2,False
1,1,-1,1,False
1,0,0,1,False
1,0,0,0,False
1,0,0,1,False
1,0,0,1,False
1,1,-1,2,False
1,0,0,3,False
1,0,0,2,False
1,0,0,2,False
1,0,0,2,False
1,0,0,3,False
1,0,0,3,False
1,0,0,3,False
1,1,1,1,False
1,0,0,1,True
0,0,0,0,False
0,0,0,0,False
0,1,1,2,False
0,1,-1,0,False
0,1,1,2,False
0,0,0,2,False
0,0,0,2,True
1,1,-1,2,False
1,0,0,3,False
1,0,0,2,False
1,1,-1,0,False
1,0,0,1,False
1,1,-1,2,False
1,0,0,3,False
1,1,1,1,False
1,0,0,1,False
1,0,0,1,False
1,1,-1,3,False
1,1,1,0,False
1,0,0,1,False
1,0,0,1,False
1,1,-1,3,False
1,1,1,0,True
0,1,1,3,False
0,0,0,2,True
0,0,0,0,False
0,1,1,3,False
0,1,1,1,False
0,0,0,1,False
0,1,-1,3,False
0,1,1,1,False
0,1,-1,3,False
0,1,1,0,False
0,0,0,0,False
0,1,1,2,False
0,0,0,3,False
0,1,1,0,False
0,1,1,2,True
1,0,0,0,False
1,1,1,3,False
1,1,1,0,False
1,1,1,3,False
1,0,0,3,False
1,0,0,3,False
1,0,0,2,False
1,1,-1,1,True
1,0,0,1,False
1,0,0,1,False
1,0,0,1,False
1,0,0,0,False
1,0,0,1,False
1,0,0,0,False
1,0,0,1,False
1,0,0,0,False
1,0,0,1,False
1,1,-1,2,False
1,1,-1,1,False
1,1,-1,2,True
1,1,-1,3,False
1,0,0,3,False
1,0,0,3,False
1,1,1,0,False
1,1,1,2,False
1,1,-1,0,False
1,1,1,3,False
1,1,1,1,False
1,1,-1,2,False
1,0,0,3,True
0,1,1,2,False
0,1,-1,1,False
0,0,0,1,False
0,1,-1,2,False
0,1,-1,1,False
0,0,0,0,False
0,0,0,1,False
0,1,-1,3,False
0,0,0,3,False
0,1,1,0,False
0,1,1,2,False
0,1,-1,1,False
0,1,-1,3,False
0,1,1,1,False
0,1,-1,3,False
0,1,1,1,False
0,0,0,1,False
0,1,-1,2,False
0,0,0,3,False
0,0,0,3,False
0,1,1,0,True
1,1,-1,3,False
1,0,0,3,False
1,1,1,0,False
1,0,0,0,True
0,0,0,0,False
0,1,1,2,False
0,1,-1,1,False
0,1,-1,2,False
0,0,0,2,False
0,1,-1,1,False
0,1,-1,3,False
0,1,1,0,False
0,1,1,3,False
0,1,1,1,False
0,0,0,0,False
0,1,1,2,False
0,0,0,2,False
0,0,0,3,True
1,0,0,1,True
1,0,0,0,False
1,0,0,0,False
1,1,1,2,False
1,1,-1,1,False
1,0,0,0,False
1,1,1,3,False
1,0,0,2,False
1,0,0,2,False
1,1,-1,0,False
1,1,1,3,False
1,0,0,3,False
1,0,0,3,False
1,1,1,0,False
1,0,0,0,True
1,1,-1,2,False
1,0,0,2,False
1,0,0,3,False
1,0,0,3,False
1,1,1,0,False
1,0,0,1,False
1,1,-1,2,False
1,0,0,3,False
1,0,0,2,False
1,1,-1,0,False
1,0,0,1,False
1,0,0,0,True
1,0,0,1,False
1,1,-1,3,False
1,0,0,3,False
1,0,0,2,False
1,1,-1,0,False
1,0,0,0,False
1,0,0,0,False
1,1,1,3,False
1,1,1,1,False
1,0,0,1,False
1,0,0,0,False
1,0,0,1,False
1,0,0,0,False
1,0,0,0,False
1,1,1,2,False
1,1,-1,0,False
1,1,1,3,False
1,0,0,2,False
1,0,0,2,False
1,0,0,3,False
1,0,0,2,False
1,1,-1,0,False
1,0,0,1,False
1,1,-1,2,False
1,1,-1,0,True
1,1,-1,3,False
1,0,0,3,False
1,1,1,1,False
1,0,0,1,False
1,0,0,0,False
1,0,0,1,False
1,1,-1,2,False
1,0,0,3,False
1,1,1,1,False
1,1,-1,3,False
1,0,0,3,False
1,1,1,1,False
1,0,0,0,False
1,1,1,2,False
1,0,0,3,False
1,1,1,1,False
1,0,0,0,False
1,1,1,3,False
1,0,0,3,False
1,0,0,2,False
1,0,0,2,True
1,1,-1,3,False
1,0,0,2,False
1,0,0,3,False
1,1,1,0,False
1,0,0,1,False
1,0,0,0,True
0,1,1,3,False
0,1,1,1,False
0,0,0,0,False
0,1,1,3,False
0,0,0,3,True
1,1,-1,2,False
1,0,0,2,False
1,1,-1,1,False
1,1,-1,3,False
1,1,1,1,False
1,1,-1,3,False
1,0,0,3,True
1,0,0,0,False
1,0,0,1,False
1,0,0,1,False
1,1,-1,3,False
1,0,0,2,False
1,1,-1,1,False
1,0,0,0,False
1,0,0,1,True
1,1,-1,3,False
1,0,0,3,False
1,0,0,3,False
1,1,1,1,False
1,1,-1,3,False
1,0,0,2,False
1,0,0,2,False
1,1,-1,0,False
1,1,1,2,False
1,0,0,2,False
1,0,0,2,False
1,1,-1,0,False
1,0,0,1,False
1,1,-1,2,False
1,1,-1,0,False
1,0,0,0,False
1,0,0,1,False
1,1,-1,2,False
1,1,-1,1,False
1,1,-1,2,False
1,0,0,3,False
1,0,0,3,False
1,1,1,0,False
1,1,1,3,False
1,1,1,0,False
1,0,0,1,False
1,0,0,1,False
1,0,0,0,False
1,1,1,2,False
1,1,-1,1,False
1,1,-1,2,False
1,0,0,3,False
1,0,0,2,False
1,0,0,3,False
1,0,0,2,True
1,0,0,1,False
1,0,0,0,False
1,0,0,1,False
1,0,0,0,False
1,0,0,1,False
1,0,0,1,False
1,1,-1,3,False
1,1,1,0,False
1,1,1,3,False
1,1,1,1,False
1,0,0,0,False
1,1,1,3,False
1,1,1,0,False
1,1,1,2,False
1,0,0,2,False
1,1,-1,0,False
1,1,1,3,False
1,0,0,3,False
1,1,1,0,False
1,1,1,2,False
1,1,-1,1,False
1,0,0,1,False
1,1,-1,2,False
1,0,0,3,False
1,0,0,3,False
1,0,0,2,False
1,1,-1,0,False
1,1,1,3,False
1,1,1,0,False
1,1,1,2,True
0,1,1,3,False
0,1,1,1,False
0,0,0,1,False
0,0,0,1,False
0,1,-1,3,False
0,1,1,0,False
0,0,0,1,False
0,1,-1,3,False
0,1,1,0,False
0,1,1,3,False
0,1,1,1,False
0,0,0,1,False
0,0,0,1,False
0,1,-1,2,False
0,1,-1,0,False
0,1,1,3,False
0,1,1,1,False
0,1,-1,3,False
0,0,0,2,False
0,1,-1,0,False
0,0,0,0,False
0,0,0,0,False
0,1,1,2,False
0,0,0,3,True
1,0,0,1,False
1,0,0,1,False
1,1,-1,2,False
1,1,-1,0,False
1,0,0,0,False
1,0,0,1,False
1,1,-1,3,False
1,0,0,2,False
1,0,0,2,False
1,1,-1,1,False
1,1,-1,3,True
0,0,0,1,False
0,1,-1,2,False
0,1,-1,0,False
0,1,1,2,False
0,0,0,3,False
0,0,0,2,False
0,0,0,2,False
0,1,-1,1,False
0,0,0,1,False
0,1,-1,2,False
0,0,0,2,False
0,1,-1,0,False
0,1,1,2,False
0,1,-1,1,False
0,1,-1,2,False
0,1,-1,1,False
0,0,0,0,False
0,0,0,1,False
0,1,-1,3,False
0,0,0,2,False
0,0,0,2,False
0,0,0,3,False
0,0,0,2,False
0,0,0,3,True
0,1,1,3,False
0,0,0,3,False
0,0,0,3,False
0,0,0,2,False
0,0,0,3,False
0,0,0,2,False
0,0,0,3,False
0,1,1,1,False
0,1,-1,2,False
0,0,0,2,False
0,1,-1,1,True
1,1,-1,3,False
1,0,0,3,True
1,1,-1,3,False
1,1,1,1,False
1,0,0,0,False
1,1,1,3,False
1,1,1,0,False
1,1,1,2,False
1,0,0,2,False
1,1,-1,0,False
1,0,0,1,False
1,1,-1,2,False
1,1,-1,1,False
1,0,0,0,False
1,0,0,0,False
1,1,1,2,False
1,1,-1,0,False
1,1,1,2,False
1,1,-1,1,True
0,0,0,0,False
0,0,0,0,False
0,1,1,2,False
0,1,-1,0,False
0,0,0,1,False
0,1,-1,3,False
0,1,1,0,False
0,1,1,3,True
1,1,-1,3,False
1,1,1,0,False
1,0,0,0,False
1,1,1,3,False
1,0,0,3,False
1,0,0,3,False
1,1,1,1,False
1,1,-1,3,False
1,1,1,0,False
1,0,0,0,True
0,0,0,0,False
0,0,0,1,False
0,0,0,1,False
0,1,-1,3,False
0,1,1,1,False
0,1,-1,3,False
0,0,0,3,False
0,0,0,2,False
0,0,0,3,False
0,1,1,1,False
0,0,0,1,False
0,1,-1,3,False
0,1,1,1,True
0,0,0,0,True
1,1,-1,3,True
0,0,0,1,False
0,0,0,0,False
0,0,0,0,False
0,1,1,2,False
0,1,-1,1,False
0,0,0,0,False
0,0,0,1,False
0,1,-1,3,False
0,1,1,0,False
0,1,1,3,False
0,1,1,1,False
0,1,-1,3,False
0,1,1,0,False
0,1,1,3,False
0,1,1,1,False
0,0,0,0,False
0,1,1,2,False
0,1,-1,1,False
0,0,0,1,True
1,0,0,0,False
1,0,0,0,False
1,0,0,1,False
1,0,0,0,False
1,1,1,3,False
1,1,1,0,False
1,0,0,1,False
1,0,0,0,False
1,1,1,3,False
1,0,0,3,False
1,1,1,1,False
1,1,-1,3,False
1,0,0,3,False
1,0,0,2,False
1,1,-1,1,False
1,1,-1,3,False
1,1,1,0,False
1,0,0,1,False
1,1,-1,2,False
1,1,-1,0,False
1,1,1,2,False
1,0,0,2,False
1,1,-1,0,False
1,1,1,2,False
1,1,-1,1,False
1,1,-1,3,False
1,0,0,3,False
1,0,0,3,False
1,0,0,2,False
1,1,-1,0,False
1,1,1,3,False
1,0,0,3,False
1,0,0,2,False
1,1,-1,0,False
1,1,1,2,False
1,1,-1,0,False
1,1,1,3,True
0,1,1,2,False
0,0,0,2,False
0,0,0,2,False
0,0,0,2,False
0,0,0,2,False
0,1,-1,0,False
0,1,1,3,False
0,0,0,3,False
0,0,0,2,False
0,1,-1,0,False
0,1,1,3,False
0,1,1,0,False
0,0,0,1,False
0,0,0,1,False
0,0,0,1,False
0,1,-1,3,False
0,1,1,0,False
0,1,1,2,True
1,0,0,0,False
1,0,0,1,False
1,1,-1,2,False
1,1,-1,1,False
1,0,0,1,False
1,0,0,1,False
1,1,-1,3,False
1,1,1,1,False
1,1,-1,2,False
1,0,0,2,True
0,0,0,0,False
0,1,1,3,False
0,0,0,3,False
0,1,1,1,True
1,0,0,0,False
1,0,0,1,False
1,1,-1,2,False
1,1,-1,0,False
1,1,1,2,False
1,1,-1,1,False
1,1,-1,2,False
1,1,-1,0,False
1,1,1,3,False
1,0,0,3,False
1,1,1,0,False
1,0,0,0,False
1,0,0,1,True
0,0,0,0,False
0,0,0,1,False
0,1,-1,2,False
0,1,-1,0,False
0,1,1,2,True
0,0,0,0,False
0,0,0,1,False
0,0,0,1,False
0,0,0,1,False
0,1,-1,2,False
0,0,0,3,False
0,0,0,2,False
0,0,0,2,False
0,0,0,3,False
0,0,0,3,False
0,1,1,0,False
0,1,1,3,False
0,0,0,2,False
0,0,0,2,False
0,1,-1,0,False
0,0,0,1,False
0,1,-1,2,False
0,0,0,2,False
0,0,0,2,False
0,0,0,2,False
0,1,-1,1,False
0,1,-1,2,False
0,0,0,2,False
0,1,-1,0,False
0,0,0,1,False
0,0,0,0,False
0,1,1,3,False
0,0,0,2,True
1,1,-1,3,False
1,0,0,3,False
1,1,1,1,False
1,1,-1,3,False
1,0,0,3,False
1,1,1,0,False
1,0,0,1,False
1,1,-1,3,False
1,0,0,3,False
1,0,0,3,False
1,1,1,1,False
1,0,0,1,True
0,1,1,2,True
0,1,1,2,False
0,1,-1,1,False
0,0,0,1,False
0,1,-1,3,False
0,0,0,3,False
0,1,1,1,False
0,1,-1,3,False
0,0,0,2,False
0,1,-1,1,False
0,1,-1,2,False
0,1,-1,0,False
0,1,1,3,False
0,1,1,1,False
0,1,-1,2,False
0,0,0,3,True
0,0,0,1,False
0,1,-1,3,False
0,0,0,3,False
0,0,0,3,False
0,1,1,1,False
0,1,-1,2,False
0,0,0,2,False
0,1,-1,1,False
0,0,0,1,False
0,0,0,0,False
0,1,1,2,False
0,1,-1,0,False
0,1,1,2,True
1,0,0,0,False
1,1,1,3,False
1,1,1,1,False
1,0,0,1,False
1,1,-1,3,False
1,0,0,3,False
1,0,0,3,False
1,1,1,0,False
1,1,1,2,False
1,1,-1,0,False
1,0,0,1,False
1,0,0,1,False
1,0,0,0,False
1,1,1,2,False
1,0,0,3,False
1,1,1,1,False
1,1,-1,2,True
0,1,1,3,False
0,0,0,3,False
0,0,0,3,False
0,0,0,2,False
0,1,-1,0,False
0,0,0,1,False
0,1,-1,3,False
0,1,1,1,False
0,0,0,1,False
0,1,-1,3,False
0,0,0,3,False
0,1,1,1,False
0,1,-1,2,False
0,1,-1,0,False
0,0,0,0,False
0,1,1,3,False
0,0,0,2,False
0,1,-1,1,False
0,0,0,1,True
1,0,0,1,True
0,1,1,2,False
0,1,-1,0,False
0,1,1,2,False
0,0,0,3,False
0,0,0,3,False
0,0,0,2,False
0,0,0,3,False
0,1,1,0,False
0,0,0,0,False
0,1,1,2,False
0,1,-1,0,False
0,0,0,1,False
0,1,-1,3,False
0,0,0,2,False
0,1,-1,0,False
0,1,1,3,False
0,1,1,0,False
0,0,0,1,False
0,1,-1,3,False
0,1,1,0,False
0,0,0,1,False
0,0,0,0,False
0,1,1,3,False
0,0,0,3,False
0,0,0,3,False
0,1,1,1,False
0,0,0,1,False
0,0,0,0,False
0,1,1,3,False
0,1,1,1,False
0,0,0,1,False
0,1,-1,3,False
0,1,1,1,False
0,0,0,1,False
0,1,-1,2,False
0,0,0,3,False
0,1,1,0,False
0,0,0,1,False
0,1,-1,3,False
0,1,1,0,False
0,0,0,1,True
0,1,1,3,False
0,0,0,3,False
0,1,1,1,False
0,0,0,1,False
0,0,0,1,False
0,0,0,0,False
0,1,1,2,False
0,1,-1,0,True
0,0,0,0,False
0,1,1,3,False
0,0,0,2,False
0,0,0,3,False
0,0,0,3,False
0,0,0,2,False
0,0,0,3,False
0,0,0,2,False
0,0,0,3,False
0,1,1,1,False
0,0,0,0,False
0,1,1,3,False
0,0,0,2,False
0,1,-1,1,False
0,0,0,0,True
1,0,0,1,False
1,0,0,0,False
1,1,1,2,False
1,0,0,3,False
1,0,0,3,False
1,1,1,1,False
1,1,-1,2,True
0,0,0,1,False
0,0,0,1,True
1,1,-1,2,True
0,1,1,2,False
0,1,-1,1,False
0,0,0,1,False
0,0,0,0,False
0,0,0,0,False
0,0,0,0,False
0,0,0,1,False
0,0,0,0,False
0,1,1,3,False
0,0,0,2,True
0,1,1,3,False
0,0,0,2,False
0,0,0,2,False
0,1,-1,0,False
0,0,0,0,False
0,1,1,3,False
0,1,1,0,False
0,0,0,0,True
0,1,1,2,False
0,0,0,2,False
0,1,-1,0,False
0,1,1,3,False
0,1,1,1,False
0,1,-1,3,False
0,1,1,1,False
0,0,0,0,False
0,0,0,0,False
0,1,1,2,False
0,1,-1,0,False
0,1,1,2,False
0,1,-1,1,False
0,1,-1,3,False
0,0,0,2,False
0,1,-1,0,False
0,1,1,2,False
0,0,0,2,False
0,1,-1,0,False
0,0,0,0,False
0,1,1,2,False
0,1,-1,0,False
0,0,0,0,False
0,1,1,2,False
0,1,-1,0,False
0,0,0,1,False
0,1,-1,3,False
0,1,1,1,False
0,0,0,0,True
1,1,-1,2,True
0,0,0,1,False
0,1,-1,2,False
0,0,0,3,False
0,0,0,2,False
0,0,0,3,False
0,1,1,1,False
0,0,0,0,False
0,0,0,1,False
0,0,0,0,False
0,1,1,3,False
0,1,1,1,False
0,1,-1,2,False
0,1,-1,0,False
0,0,0,1,True
0,1,1,2,True
0,0,0,0,False
0,1,1,2,True
0,0,0,1,False
0,1,-1,3,False
0,1,1,0,False
0,0,0,0,False
0,0,0,0,True
0,1,1,2,True
1,0,0,1,False
1,0,0,1,True
1,1,-1,3,True
1,1,-1,2,False
1,1,-1,1,False
1,0,0,1,False
1,1,-1,2,False
1,0,0,3,False
1,0,0,3,False
1,1,1,1,False
1,1,-1,2,False
1,1,-1,1,False
1,1,-1,2,False
1,1,-1,0,False
1,1,1,3,False
1,0,0,3,False
1,1,1,0,False
1,1,1,3,False
1,1,1,0,False
1,0,0,0,False
1,0,0,0,False
1,0,0,0,False
1,1,1,2,False
1,0,0,3,False
1,1,1,0,True
1,1,-1,2,False
1,0,0,3,False
1,1,1,1,False
1,1,-1,3,False
1,0,0,2,True
0,1,1,2,False
0,0,0,2,False
0,0,0,3,False
0,0,0,3,True
1,1,-1,2,False
1,1,-1,1,False
1,0,0,0,False
1,1,1,2,False
1,1,-1,0,False
1,0,0,1,False
1,0,0,0,False
1,1,1,3,False
1,1,1,1,False
1,1,-1,2,False
1,0,0,2,False
1,1,-1,1,False
1,0,0,1,False
1,0,0,0,True
1,0,0,1,False
1,1,-1,2,False
1,0,0,3,False
1,0,0,2,False
1,1,-1,0,False
1,0,0,1,False
1,0,0,0,False
1,1,1,2,False
1,0,0,2,False
1,1,-1,1,False
1,1,-1,3,False
1,0,0,3,False
1,0,0,3,False
1,1,1,0,False
1,0,0,0,False
1,1,1,3,False
1,0,0,3,False
1,1,1,0,False
1,1,1,2,False
1,1,-1,0,False
1,0,0,0,True
0,1,1,2,False
0,1,-1,0,False
0,0,0,0,False
0,1,1,2,False
0,1,-1,0,False
0,1,1,2,False
0,0,0,3,False
0,0,0,3,False
0,0,0,3,False
0,1,1,1,False
0,1,-1,3,False
0,0,0,3,False
0,1,1,1,False
0,1,-1,3,False
0,1,1,1,False
0,0,0,0,False
0,0,0,0,False
0,1,1,3,False
0,0,0,2,False
0,1,-1,0,False
0,1,1,3,False
0,0,0,3,False
0,1,1,0,False
0,1,1,3,True
1,1,-1,2,False
1,1,-1,1,False
1,0,0,0,False
1,0,0,0,False
1,1,1,2,False
1,1,-1,1,False
1,1,-1,3,False
1,0,0,3,False
1,1,1,1,False
1,1,-1,2,False
1,1,-1,1,False
1,1,-1,2,False
1,1,-1,0,False
1,1,1,2,False
1,0,0,2,False
1,0,0,3,False
1,0,0,3,False
1,1,1,1,False
1,1,-1,3,False
1,0,0,3,True
0,1,1,3,False
0,0,0,3,False
0,1,1,0,False
0,0,0,1,False
0,0,0,1,False
0,0,0,1,False
0,1,-1,3,False
0,1,1,1,False
0,0,0,1,False
0,0,0,1,False
0,1,-1,2,False
0,1,-1,0,False
0,1,1,3,False
0,0,0,2,False
0,1,-1,1,False
0,0,0,0,False
0,0,0,1,False
0,1,-1,2,False
0,0,0,2,False
0,0,0,2,False
0,0,0,3,False
0,1,1,1,True
1,1,-1,3,False
1,1,1,1,False
1,0,0,1,False
1,1,-1,3,False
1,1,1,1,False
1,1,-1,2,False
1,0,0,3,False
1,1,1,0,False
1,1,1,3,False
1,1,1,0,False
1,1,1,2,True
0,0,0,0,False
0,1,1,2,False
0,1,-1,1,False
0,1,-1,2,False
0,0,0,2,True
0,1,1,3,False
0,1,1,0,False
0,1,1,3,False
0,1,1,1,False
0,1,-1,3,False
0,0,0,3,False
0,1,1,1,False
0,1,-1,2,False
0,1,-1,0,False
0,1,1,2,False
0,1,-1,1,False
0,0,0,0,False
0,0,0,1,False
0,0,0,0,False
0,1,1,3,False
0,0,0,3,False
0,0,0,3,False
0,0,0,3,False
0,0,0,2,False
0,0,0,2,False
0,1,-1,0,False
0,0,0,1,False
0,0,0,0,False
0,0,0,0,False
0,1,1,2,False
0,0,0,2,False
0,1,-1,0,False
0,1,1,2,False
0,0,0,2,False
0,0,0,3,False
0,1,1,1,False
0,0,0,1,False
0,0,0,1,False
0,0,0,1,True
1,1,-1,2,False
1,1,-1,1,False
1,0,0,1,False
1,0,0,0,False
1,0,0,0,False
1,0,0,0,False
1,0,0,1,False
1,1,-1,3,False
1,1,1,1,False
1,0,0,0,True
0,0,0,0,False
0,1,1,2,False
0,1,-1,0,False
0,0,0,0,False
0,1,1,2,False
0,0,0,2,False
0,1,-1,0,False
0,1,1,2,False
0,0,0,2,False
0,1,-1,0,False
0,0,0,0,False
0,1,1,2,False
0,0,0,3,False
0,0,0,2,False
0,0,0,2,False
0,1,-1,1,False
0,0,0,1,False
0,1,-1,3,False
0,0,0,3,False
0,0,0,2,False
0,0,0,3,False
0,0,0,3,False
0,0,0,2,False
0,0,0,3,False
0,0,0,3,False
0,1,1,1,False
0,0,0,0,False
0,1,1,3,True
0,1,1,2,False
0,0,0,2,False
0,0,0,3,False
0,1,1,1,False
0,0,0,1,False
0,1,-1,2,False
0,0,0,2,False
0,1,-1,0,False
0,1,1,2,False
0,0,0,2,False
0,0,0,2,True
0,0,0,0,False
0,1,1,2,False
0,1,-1,1,False
0,1,-1,2,True
1,1,-1,2,True
0,1,1,3,False
0,1,1,1,True
0,1,1,3,False
0,0,0,3,False
0,1,1,0,True
1,0,0,0,False
1,0,0,0,False
1,0,0,0,False
1,1,1,3,False
1,0,0,3,False
1,0,0,2,False
1,0,0,2,False
1,1,-1,1,True
0,1,1,2,False
0,1,-1,1,False
0,0,0,1,False
0,1,-1,2,True
1,1,-1,3,False
1,0,0,3,False
1,1,1,0,False
1,1,1,2,False
1,0,0,3,False
1,0,0,2,False
1,0,0,2,False
1,0,0,3,False
1,1,1,1,True
1,1,-1,2,True
1,1,-1,3,False
1,1,1,0,False
1,0,0,1,True
1,0,0,1,False
1,0,0,1,False
1,1,-1,2,False
1,0,0,3,False
1,1,1,0,False
1,1,1,2,False
1,1,-1,1,True
0,1,1,2,False
0,1,-1,0,False
0,1,1,2,False
0,0,0,3,False
0,1,1,1,False
0,0,0,0,False
0,1,1,2,False
0,1,-1,0,False
0,0,0,0,False
0,1,1,3,True
0,1,1,3,False
0,1,1,1,True
0,0,0,1,False
0,0,0,0,False
0,1,1,2,False
0,0,0,2,False
0,0,0,2,False
0,0,0,2,False
0,0,0,3,False
0,1,1,1,False
0,1,-1,2,False
0,1,-1,1,False
0,0,0,0,False
0,0,0,1,False
0,1,-1,3,False
0,0,0,3,False
0,0,0,3,False
0,1,1,0,False
0,0,0,0,False
0,0,0,1,False
0,1,-1,2,False
0,0,0,2,False
0,0,0,3,True
0,1,1,3,False
0,0,0,3,False
0,1,1,0,True
1,0,0,0,False
1,0,0,1,False
1,0,0,0,False
1,1,1,2,False
1,0,0,3,False
1,1,1,1,False
1,0,0,1,False
1,0,0,1,False
1,0,0,1,False
1,1,-1,3,False
1,0,0,2,False
1,0,0,2,False
1,1,-1,0,False
1,1,1,2,False
1,1,-1,0,False
1,1,1,3,False
1,1,1,1,False
1,0,0,0,False
1,0,0,1,False
1,0,0,1,False
1,1,-1,3,False
1,0,0,2,False
1,1,-1,1,False
1,0,0,0,False
1,0,0,0,True
0,1,1,2,False
0,0,0,2,False
0,1,-1,1,False
0,0,0,0,False
0,0,0,1,False
0,1,-1,2,False
0,0,0,3,False
0,1,1,1,False
0,1,-1,3,False
0,0,0,3,False
0,0,0,3,False
0,0,0,3,False
0,0,0,2,False
0,1,-1,1,False
0,0,0,1,False
0,0,0,0,False
0,1,1,2,False
0,0,0,3,False
0,0,0,3,False
0,1,1,0,False
0,0,0,0,False
0,1,1,3,False
0,1,1,0,False
0,0,0,0,False
0,0,0,1,False
0,1,-1,2,False
0,1,-1,0,False
0,1,1,3,False
0,1,1,1,False
0,0,0,0,False
0,0,0,1,False
0,0,0,1,False
0,0,0,0,True
1,0,0,0,False
1,0,0,0,False
1,0,0,0,False
1,0,0,0,False
1,1,1,3,False
1,1,1,1,False
1,1,-1,3,False
1,1,1,0,False
1,0,0,1,False
1,0,0,0,False
1,1,1,2,False
1,1,-1,0,False
1,0,0,0,False
1,1,1,2,False
1,0,0,3,True
1,1,-1,3,False
1,1,1,0,False
1,1,1,2,False
1,1,-1,0,True
0,1,1,2,False
0,1,-1,0,False
0,0,0,0,False
0,1,1,2,False
0,0,0,3,False
0,1,1,0,True
0,0,0,0,False
0,1,1,3,False
0,1,1,1,False
0,1,-1,3,False
0,0,0,2,False
0,1,-1,0,False
0,1,1,2,False
0,1,-1,1,False
0,0,0,0,False
0,1,1,3,False
0,1,1,0,False
0,1,1,3,False
0,1,1,1,True
0,1,1,2,False
0,1,-1,0,True
0,1,1,2,False
0,0,0,2,False
0,0,0,2,False
0,0,0,3,False
0,0,0,2,False
0,0,0,2,False
0,1,-1,0,True
1,0,0,0,False
1,0,0,0,False
1,1,1,2,False
1,0,0,2,False
1,1,-1,1,False
1,1,-1,2,False
1,1,-1,1,False
1,0,0,0,False
1,0,0,1,False
1,1,-1,3,False
1,0,0,3,False
1,0,0,3,False
1,1,1,0,False
1,0,0,0,False
1,0,0,1,False
1,0,0,1,False
1,0,0,1,False
1,0,0,0,False
1,0,0,0,False
1,1,1,2,False
1,0,0,3,False
1,0,0,2,True
1,1,-1,2,True
0,0,0,1,False
0,1,-1,3,False
0,0,0,3,False
0,1,1,0,False
0,0,0,1,False
0,0,0,0,False
0,1,1,3,False
0,0,0,2,True
1,1,-1,3,False
1,1,1,0,False
1,0,0,1,False
1,1,-1,3,False
1,0,0,3,False
1,1,1,1,True
1,1,-1,3,False
1,0,0,3,False
1,1,1,0,False
1,1,1,2,False
1,0,0,3,False
1,1,1,1,False
1,0,0,1,False
1,0,0,0,False
1,0,0,1,False
1,0,0,0,False
1,1,1,2,False
1,0,0,3,False
1,1,1,1,False
1,1,-1,2,False
1,0,0,3,False
1,0,0,2,False
1,1,-1,1,False
1,1,-1,3,False
1,1,1,0,False
1,0,0,1,False
1,1,-1,2,False
1,1,-1,1,False
1,0,0,1,False
1,1,-1,3,False
1,1,1,0,True
0,0,0,1,False
0,0,0,1,False
0,1,-1,2,True
1,1,-1,3,True
1,0,0,1,False
1,1,-1,3,False
1,1,1,1,False
1,0,0,1,False
1,1,-1,3,True
0,0,0,1,False
0,1,-1,2,False
0,1,-1,0,False
0,1,1,2,False
0,1,-1,0,True
1,0,0,0,False
1,0,0,1,False
1,0,0,1,False
1,0,0,0,False
1,1,1,2,False
1,0,0,3,False
1,0,0,2,False
1,0,0,2,False
1,1,-1,0,False
1,1,1,3,False
1,1,1,1,False
1,1,-1,2,False
1,1,-1,1,False
1,0,0,1,False
1,1,-1,3,False
1,1,1,1,False
1,0,0,1,False
1,1,-1,3,False
1,0,0,3,False
1,1,1,1,False
1,0,0,1,False
1,0,0,0,False
1,1,1,2,False
1,0,0,2,False
1,1,-1,0,True
1,1,-1,3,False
1,0,0,2,False
1,1,-1,1,False
1,1,-1,3,False
1,1,1,1,False
1,1,-1,2,False
1,1,-1,0,False
1,1,1,3,False
1,1,1,0,False
1,0,0,0,False
1,0,0,1,True
0,1,1,3,False
0,1,1,0,True
1,1,-1,2,False
1,0,0,2,False
1,1,-1,1,False
1,1,-1,2,False
